1496840468.73,0.101181,0.363935,-0.38486,0.17937,0.204973,-0.066526,0.094393,-0.355955,-0.929724,-0.025896,0.015851,0.011221,4.495693,-1.214758,-41.115906
1496840468.74,0.103055,0.365478,-0.385794,0.188645,0.158018,-0.077101,0.096078,-0.357395,-0.928998,-0.00596,0.007542,-0.000979,4.495693,-1.214758,-41.115906
1496840468.75,0.104678,0.367271,-0.386848,0.188292,0.113266,-0.07809,0.097519,-0.35907,-0.928202,0.011154,-0.002823,-0.004659,4.796139,-1.438253,-41.188507
1496840468.76,0.105881,0.369026,-0.38775,0.180469,0.080278,-0.059899,0.098568,-0.360707,-0.927456,0.026523,-0.013896,-0.005817,4.796139,-1.438253,-41.188507
1496840468.77,0.106784,0.370683,-0.388408,0.165271,0.062264,-0.036411,0.099342,-0.362252,-0.926771,0.034142,-0.027564,-0.004732,4.72163,-1.588751,-41.112549
1496840468.78,0.109043,0.373684,-0.389325,0.141695,0.060334,-0.011905,0.101317,-0.365048,-0.925459,0.032671,-0.036228,0.005141,4.72163,-1.588751,-41.112549
1496840468.79,0.1097,0.374896,-0.389424,0.116007,0.062656,0.008327,0.101877,-0.366176,-0.924952,0.025229,-0.035481,0.014628,5.021999,-1.737402,-41.110687
1496840468.80,0.110287,0.375883,-0.389353,0.09139,0.059651,0.018964,0.102379,-0.367094,-0.924533,0.024818,-0.033709,0.021258,5.021999,-1.737402,-41.110687
1496840468.81,0.110706,0.376598,-0.389199,0.062437,0.042838,0.021077,0.102738,-0.367759,-0.924228,0.01947,-0.027947,0.028049,5.247372,-1.886389,-41.109009
1496840468.82,0.111853,0.378319,-0.389427,0.03034,0.02182,0.01145,0.103727,-0.369359,-0.92348,0.015948,-0.02122,0.029498,5.247372,-1.886389,-41.109009
1496840468.83,0.111935,0.378291,-0.389427,-0.013475,0.003017,-0.004604,0.103804,-0.369333,-0.923481,0.009157,-0.014166,0.029881,5.2467,-1.661245,-41.185699
1496840468.84,0.111907,0.37788,-0.389537,-0.048737,-0.011598,-0.017448,0.103795,-0.368951,-0.923635,0.006587,-0.008963,0.028829,5.2467,-1.661245,-41.185699
1496840468.85,0.111759,0.377267,-0.389721,-0.060536,-0.025344,-0.027051,0.103683,-0.368382,-0.923875,0.008667,-0.002254,0.024339,5.022076,-1.812246,-41.18512
1496840468.86,0.111919,0.376722,-0.390128,-0.057344,-0.030685,-0.033443,0.103854,-0.367874,-0.924058,0.005262,0.005203,0.021104,5.022076,-1.812246,-41.18512
