segment_id,sample_index,curve,time_step,is_missing,x,y,z
1,0,Full,0,1,-1.3359947204589844,1.7033861875534058,1.2991423606872559
1,0,Full,1,1,-1.3360251188278198,1.703385591506958,1.2990880012512207
1,0,Full,2,1,-1.3360929489135742,1.7033805847167969,1.2989858388900757
1,0,Full,3,1,-1.3361949920654297,1.7033635377883911,1.2988454103469849
1,0,Full,4,1,-1.336325764656067,1.7033308744430542,1.2986716032028198
1,0,Full,5,1,-1.336480975151062,1.7032828330993652,1.2984676361083984
1,0,Full,6,1,-1.3366543054580688,1.7032194137573242,1.2982391119003296
1,0,Full,7,1,-1.3368430137634277,1.7031422853469849,1.2979916334152222
1,0,Full,8,1,-1.3370463848114014,1.7030526399612427,1.2977335453033447
1,0,Full,9,1,-1.3372646570205688,1.7029509544372559,1.2974748611450195
1,0,Full,10,1,-1.3374980688095093,1.702837586402893,1.2972255945205688
1,0,Full,11,1,-1.337744951248169,1.7027140855789185,1.2969934940338135
1,0,Full,12,1,-1.3380004167556763,1.702584147453308,1.2967835664749146
1,0,Full,13,1,-1.3382573127746582,1.7024519443511963,1.2965956926345825
1,0,Full,14,1,-1.3385095596313477,1.702322006225586,1.2964280843734741
1,0,Full,15,1,-1.338753342628479,1.7021976709365845,1.296279788017273
1,0,Full,16,1,-1.3389874696731567,1.702081561088562,1.2961478233337402
1,0,Full,17,1,-1.339213252067566,1.7019752264022827,1.2960312366485596
1,0,Full,18,1,-1.3394323587417603,1.7018768787384033,1.2959322929382324
1,0,Full,19,1,-1.3396447896957397,1.7017838954925537,1.2958530187606812
1,0,Full,20,1,-1.3398480415344238,1.7016948461532593,1.2957950830459595
1,0,Full,21,1,-1.3400382995605469,1.701608657836914,1.2957593202590942
1,0,Full,22,1,-1.3402116298675537,1.7015267610549927,1.2957466840744019
1,0,Full,23,1,-1.3403657674789429,1.7014541625976562,1.295757532119751
1,0,Full,24,1,-1.3405014276504517,1.701393485069275,1.2957912683486938
1,0,Full,25,1,-1.340621829032898,1.7013453245162964,1.2958446741104126
1,0,Full,26,0,-1.340729832649231,1.7013096809387207,1.2959133386611938
1,0,Full,27,1,-1.340827226638794,1.7012847661972046,1.295996904373169
1,0,Full,28,1,-1.3409143686294556,1.7012676000595093,1.296096682548523
1,0,Full,29,1,-1.3409903049468994,1.701255440711975,1.2962126731872559
1,0,GRU,0,1,-1.3359947204589844,1.7033861875534058,1.2991423606872559
1,0,GRU,1,1,-1.3360286951065063,1.703396201133728,1.2991172075271606
1,0,GRU,2,1,-1.3360992670059204,1.7033945322036743,1.2990461587905884
1,0,GRU,3,1,-1.3361999988555908,1.703368902206421,1.2989356517791748
1,0,GRU,4,1,-1.336322546005249,1.7033158540725708,1.298791527748108
1,0,GRU,5,1,-1.3364611864089966,1.703234076499939,1.2985936403274536
1,0,GRU,6,1,-1.3366143703460693,1.703141212463379,1.2983474731445312
1,0,GRU,7,1,-1.3367829322814941,1.7030677795410156,1.2980704307556152
1,0,GRU,8,1,-1.336965560913086,1.7030072212219238,1.2977832555770874
1,0,GRU,9,1,-1.3371624946594238,1.7029451131820679,1.2974954843521118
1,0,GRU,10,1,-1.3373737335205078,1.7028847932815552,1.2972071170806885
1,0,GRU,11,1,-1.337598204612732,1.7028299570083618,1.2969225645065308
1,0,GRU,12,1,-1.337834358215332,1.7027826309204102,1.296645164489746
1,0,GRU,13,1,-1.3380738496780396,1.702742099761963,1.2963776588439941
1,0,GRU,14,1,-1.3383082151412964,1.702707052230835,1.2961201667785645
1,0,GRU,15,1,-1.3385357856750488,1.702673316001892,1.2958720922470093
1,0,GRU,16,1,-1.3387564420700073,1.7026433944702148,1.2956340312957764
1,0,GRU,17,1,-1.3389722108840942,1.7026265859603882,1.2954037189483643
1,0,GRU,18,1,-1.3391845226287842,1.7026240825653076,1.2951788902282715
1,0,GRU,19,1,-1.3393936157226562,1.702635407447815,1.2949588298797607
1,0,GRU,20,1,-1.3396008014678955,1.7026582956314087,1.2947450876235962
1,0,GRU,21,1,-1.3398008346557617,1.702689290046692,1.294541835784912
1,0,GRU,22,1,-1.3399872779846191,1.7027322053909302,1.294349193572998
1,0,GRU,23,1,-1.3401590585708618,1.7027926445007324,1.2941640615463257
1,0,GRU,24,1,-1.340315341949463,1.7028728723526,1.2939856052398682
1,0,GRU,25,1,-1.3404574394226074,1.7029738426208496,1.2938140630722046
1,0,GRU,26,0,-1.3405873775482178,1.7030935287475586,1.2936490774154663
1,0,GRU,27,1,-1.3407062292099,1.7032283544540405,1.2934904098510742
1,0,GRU,28,1,-1.340814471244812,1.7033768892288208,1.2933372259140015
1,0,GRU,29,1,-1.3409109115600586,1.7035380601882935,1.2931898832321167
1,0,Transformer,0,1,-1.3359947204589844,1.7033861875534058,1.2991423606872559
1,0,Transformer,1,1,-1.3360049724578857,1.7033909559249878,1.2991347312927246
1,0,Transformer,2,1,-1.3360259532928467,1.7033988237380981,1.2991245985031128
1,0,Transformer,3,1,-1.3360570669174194,1.7034116983413696,1.2991156578063965
1,0,Transformer,4,1,-1.3360975980758667,1.7034295797348022,1.2991055250167847
1,0,Transformer,5,1,-1.3361480236053467,1.703446626663208,1.299089789390564
1,0,Transformer,6,1,-1.3362057209014893,1.7034683227539062,1.2990690469741821
1,0,Transformer,7,1,-1.3362690210342407,1.703493595123291,1.2990431785583496
1,0,Transformer,8,1,-1.3363369703292847,1.70352041721344,1.2990124225616455
1,0,Transformer,9,1,-1.3364092111587524,1.7035489082336426,1.2989776134490967
1,0,Transformer,10,1,-1.336484670639038,1.7035787105560303,1.2989379167556763
1,0,Transformer,11,1,-1.3365609645843506,1.7036139965057373,1.2988942861557007
1,0,Transformer,12,1,-1.3366386890411377,1.7036504745483398,1.298844575881958
1,0,Transformer,13,1,-1.3367185592651367,1.7036864757537842,1.2987881898880005
1,0,Transformer,14,1,-1.3367984294891357,1.7037222385406494,1.2987245321273804
1,0,Transformer,15,1,-1.3368797302246094,1.7037562131881714,1.298654317855835
1,0,Transformer,16,1,-1.336963176727295,1.7037895917892456,1.2985798120498657
1,0,Transformer,17,1,-1.3370462656021118,1.7038251161575317,1.2985032796859741
1,0,Transformer,18,1,-1.3371284008026123,1.7038649320602417,1.2984228134155273
1,0,Transformer,19,1,-1.3372111320495605,1.7039101123809814,1.2983365058898926
1,0,Transformer,20,1,-1.3372920751571655,1.7039635181427002,1.2982474565505981
1,0,Transformer,21,1,-1.3373709917068481,1.7040317058563232,1.298159122467041
1,0,Transformer,22,1,-1.3374475240707397,1.7041146755218506,1.2980711460113525
1,0,Transformer,23,1,-1.3375217914581299,1.704206943511963,1.2979828119277954
1,0,Transformer,24,1,-1.3375952243804932,1.7043044567108154,1.29789400100708
