segment_id,sample_index,time_step,is_missing,full_x,full_y,full_z,gru_x,gru_y,gru_z,transformer_x,transformer_y,transformer_z,locf_x,locf_y,locf_z,mice_x,mice_y,mice_z
5,12172,0,1,-1.2572216,2.4719908,0.91691643,-1.2572216,2.4719908,0.91691643,-1.2572216,2.4719908,0.91691643,-1.2572216,2.4719908,0.91691643,-1.2572216,2.4719908,0.91691643
5,12172,1,1,-1.2572352,2.4720068,0.9169311,-1.2572384,2.4719963,0.91692,-1.2572262,2.4719954,0.9169153,-1.2572366,2.4719977,0.9169311,-1.257232,2.471995,0.9169311
5,12172,2,1,-1.2572676,2.4720516,0.9169572,-1.2572803,2.4720092,0.9169155,-1.2572371,2.4719985,0.9169157,-1.2572705,2.4720242,0.9169577,-1.2572612,2.4720163,0.9169497
5,12172,3,1,-1.2573196,2.4721284,0.9169934,-1.257334,2.4720368,0.91691095,-1.2572529,2.47199,0.9169166,-1.257324,2.4720826,0.91699475,-1.25731,2.4720695,0.91697085
5,12172,4,1,-1.2573837,2.4722354,0.91703546,-1.2573915,2.4720736,0.9169203,-1.2572722,2.4719698,0.9169147,-1.2573895,2.4721713,0.91704094,-1.257371,2.472153,0.91700786
5,12172,5,1,-1.2574522,2.472371,0.91707724,-1.2574524,2.4721303,0.91694593,-1.2572945,2.4719477,0.916909,-1.2574626,2.4722886,0.91709626,-1.2574369,2.472265,0.9170636
5,12172,6,1,-1.2575132,2.4725373,0.91711015,-1.2575058,2.4722133,0.91698307,-1.2573216,2.4719296,0.9168986,-1.257531,2.4724364,0.9171607,-1.2574958,2.4724076,0.91712457
5,12172,7,1,-1.2575544,2.472735,0.9171219,-1.2575387,2.47232,0.91702664,-1.2573556,2.4719133,0.9168834,-1.2575798,2.4726157,0.91723424,-1.257535,2.4725816,0.9171855
5,12172,8,1,-1.2575778,2.4729617,0.9171035,-1.2575556,2.472458,0.91705066,-1.2573969,2.4718974,0.9168647,-1.2576107,2.472824,0.9172963,-1.2575563,2.4727848,0.9172324
5,12172,9,1,-1.2575932,2.4732137,0.91705644,-1.2575634,2.472613,0.91702974,-1.2574419,2.4718778,0.91684294,-1.2576284,2.4730577,0.9173262,-1.2575823,2.4730132,0.9172616
5,12172,10,1,-1.2576076,2.4734848,0.916987,-1.2575657,2.4727762,0.9169794,-1.2574869,2.4718533,0.9168184,-1.25764,2.4733105,0.91733044,-1.25762,2.4732606,0.9172795
5,12172,11,1,-1.2576233,2.4737694,0.9168998,-1.25757,2.472948,0.91691417,-1.2575326,2.4718194,0.91679114,-1.2576524,2.473579,0.917317,-1.2576708,2.473517,0.9172796
5,12172,12,1,-1.2576436,2.4740667,0.9168012,-1.2575852,2.473142,0.9168349,-1.2575786,2.4717748,0.9167596,-1.2576655,2.4738624,0.91729206,-1.2577301,2.473781,0.91726834
5,12172,13,1,-1.257674,2.4743803,0.91669935,-1.2576138,2.473369,0.9167494,-1.2576265,2.4717243,0.9167244,-1.2576855,2.4741623,0.9172639,-1.2577918,2.4740617,0.9172538
5,12172,14,1,-1.2577195,2.4747143,0.91659784,-1.2576517,2.4736242,0.9166585,-1.2576766,2.4716666,0.9166866,-1.2577207,2.4744825,0.9172361,-1.2578685,2.4743626,0.91723955
5,12172,15,1,-1.2577841,2.4750729,0.91649985,-1.2577035,2.4739149,0.91656303,-1.257729,2.4715998,0.9166458,-1.2577732,2.4748273,0.9172118,-1.2579534,2.474688,0.9172288
5,12172,16,1,-1.2578713,2.475459,0.9164071,-1.2577702,2.4742293,0.91646576,-1.2577837,2.471524,0.91660094,-1.257843,2.4751997,0.9171939,-1.2580308,2.4750412,0.9172036
5,12172,17,1,-1.2579814,2.4758692,0.91631144,-1.2578489,2.4745626,0.9163619,-1.2578391,2.4714386,0.91655153,-1.2579303,2.4756002,0.9171825,-1.2580973,2.475411,0.91715384
5,12172,18,1,-1.2581079,2.4762957,0.9162,-1.2579371,2.4749227,0.91625,-1.257895,2.471345,0.9164975,-1.2580317,2.4760215,0.91717756,-1.2581656,2.47579,0.9170814
5,12172,19,1,-1.2582386,2.4767306,0.916067,-1.2580281,2.4753006,0.9161268,-1.2579564,2.471245,0.9164411,-1.2581373,2.4764514,0.9171651,-1.2582381,2.4761777,0.9169824
