segment_id,sample_index,time_step,is_missing,full_x,full_y,gt_x,gt_y,bilnn_x,bilnn_y,bilstm_x,bilstm_y,hybrid_x,hybrid_y
1,0,0,1,-1.3359947,1.7033862,-1.3359947,1.7033862,-1.3359947,1.7033862,-1.3359947,1.7033862,-1.3359947,1.7033862
1,0,1,1,-1.3359953,1.7033318,-1.3359947,1.7033862,-1.3359938,1.7033266,-1.3359945,1.7033368,-1.3359929,1.7033249
1,0,2,1,-1.3360003,1.7032297,-1.3359947,1.7033862,-1.3359975,1.703222,-1.3359985,1.7032427,-1.3359969,1.7032152
1,0,3,1,-1.3360174,1.7030892,-1.3359947,1.7033862,-1.3360133,1.7030823,-1.3360151,1.7031112,-1.3360105,1.7030725
1,0,4,1,-1.33605,1.7029154,-1.3359947,1.7033862,-1.3360467,1.7029098,-1.3360475,1.7029463,-1.3360391,1.7028984
1,0,5,1,-1.3360981,1.7027115,-1.3359947,1.7033862,-1.3361,1.7027065,-1.3360952,1.7027482,-1.3360852,1.702692
1,0,6,1,-1.3361615,1.7024829,-1.3359947,1.7033862,-1.3361708,1.702478,-1.3361573,1.7025208,-1.3361503,1.7024597
1,0,7,1,-1.3362386,1.7022355,-1.3359947,1.7033862,-1.3362558,1.7022318,-1.3362331,1.7022718,-1.3362318,1.702209
1,0,8,1,-1.3363283,1.7019774,-1.3359947,1.7033862,-1.3363534,1.7019762,-1.3363218,1.7020108,-1.3363272,1.7019479
1,0,9,1,-1.33643,1.7017187,-1.3359947,1.7033862,-1.3364627,1.7017205,-1.3364228,1.701748,-1.3364362,1.701686
1,0,10,1,-1.3365433,1.7014694,-1.3359947,1.7033862,-1.3365839,1.701475,-1.3365359,1.7014941,-1.3365587,1.7014337
1,0,11,1,-1.3366668,1.7012373,-1.3359947,1.7033862,-1.3367152,1.7012513,-1.3366591,1.701257,-1.3366953,1.7012004
1,0,12,1,-1.3367968,1.7010274,-1.3359947,1.7033862,-1.3368534,1.7010523,-1.3367879,1.7010411,-1.3368403,1.7009902
1,0,13,1,-1.336929,1.7008395,-1.3359947,1.7033862,-1.3369943,1.7008766,-1.336918,1.7008479,-1.3369877,1.7008036
1,0,14,1,-1.3370589,1.7006719,-1.3359947,1.7033862,-1.3371336,1.7007226,-1.3370447,1.7006767,-1.3371354,1.7006388
1,0,15,1,-1.3371832,1.7005236,-1.3359947,1.7033862,-1.3372675,1.700588,-1.3371643,1.7005236,-1.3372804,1.7004924
1,0,16,1,-1.3372993,1.7003917,-1.3359947,1.7033862,-1.337393,1.7004708,-1.3372742,1.7003858,-1.337418,1.7003623
1,0,17,1,-1.3374057,1.7002751,-1.3359947,1.7033862,-1.3375088,1.7003728,-1.337373,1.700263,-1.3375454,1.7002493
1,0,18,1,-1.337504,1.7001761,-1.3359947,1.7033862,-1.3376166,1.7002947,-1.3374629,1.7001573,-1.3376645,1.7001542
1,0,19,1,-1.337597,1.7000968,-1.3359947,1.7033862,-1.3377188,1.7002362,-1.3375475,1.7000716,-1.3377801,1.7000788
1,0,20,1,-1.3376861,1.7000389,-1.3359947,1.7033862,-1.3378171,1.7002007,-1.3376285,1.700006,-1.337895,1.7000262
1,0,21,1,-1.3377723,1.7000031,-1.3359947,1.7033862,-1.3379123,1.700189,-1.3377074,1.6999618,-1.3380096,1.6999964
1,0,22,1,-1.3378541,1.6999905,-1.3359947,1.7033862,-1.3380033,1.7002023,-1.3377825,1.6999403,-1.338122,1.6999903
1,0,23,1,-1.3379267,1.7000014,-1.3359947,1.7033862,-1.3380849,1.7002418,-1.3378482,1.6999416,-1.3382276,1.7000095
1,0,24,1,-1.3379874,1.7000351,-1.3359947,1.7033862,-1.3381546,1.7003045,-1.3379021,1.6999642,-1.3383224,1.7000514
1,0,25,1,-1.3380356,1.7000885,-1.3359947,1.7033862,-1.3382121,1.7003875,-1.3379445,1.7000041,-1.3384055,1.7001121
1,0,26,0,-1.3380712,1.7001572,-1.3359947,1.7033862,-1.3382577,1.7004873,-1.3379744,1.700057,-1.3384768,1.7001879
1,0,27,1,-1.3380961,1.7002407,-1.3359947,1.7033862,-1.3382921,1.7006016,-1.3379931,1.7001227,-1.3385382,1.7002779
1,0,28,1,-1.3381133,1.7003405,-1.3359947,1.7033862,-1.3383182,1.700731,-1.338003,1.7002035,-1.3385929,1.7003832
1,0,29,1,-1.3381255,1.7004565,-1.3359947,1.7033862,-1.338338,1.7008756,-1.3380052,1.7002994,-1.338643,1.7005028
