segment_id,sample_index,time_step,is_missing,full_x,full_y,gt_x,gt_y,bilnn_x,bilnn_y,bilstm_x,bilstm_y,hybrid_x,hybrid_y
5,12172,0,1,-1.2572216,2.4719908,-1.2572216,2.4719908,-1.2572216,2.4719908,-1.2572216,2.4719908,-1.2572216,2.4719908
5,12172,1,1,-1.2572055,2.4720056,-1.2572216,2.4719908,-1.2571988,2.4720044,-1.2572119,2.4720042,-1.2572078,2.4720054
5,12172,2,1,-1.2571605,2.4720318,-1.2572216,2.4719908,-1.2571497,2.472029,-1.2571784,2.4720268,-1.2571697,2.4720316
5,12172,3,1,-1.2570838,2.472068,-1.2572216,2.4719908,-1.2570677,2.4720633,-1.2571137,2.4720573,-1.2571003,2.4720695
5,12172,4,1,-1.2569768,2.4721103,-1.2572216,2.4719908,-1.2569541,2.4721029,-1.2570187,2.4720912,-1.2570003,2.4721143
5,12172,5,1,-1.2568411,2.472152,-1.2572216,2.4719908,-1.2568105,2.4721384,-1.2568948,2.47212,-1.2568694,2.4721565
5,12172,6,1,-1.2566748,2.472185,-1.2572216,2.4719908,-1.2566358,2.4721591,-1.2567415,2.472134,-1.2567029,2.4721863
5,12172,7,1,-1.2564772,2.4721966,-1.2572216,2.4719908,-1.2564297,2.4721563,-1.2565578,2.472125,-1.2564992,2.4721937
5,12172,8,1,-1.2562505,2.4721782,-1.2572216,2.4719908,-1.2561941,2.472126,-1.256345,2.4720852,-1.2562633,2.472172
5,12172,9,1,-1.2559984,2.472131,-1.2572216,2.4719908,-1.2559325,2.4720685,-1.2561072,2.4720147,-1.2560025,2.472121
5,12172,10,1,-1.2557273,2.4720616,-1.2572216,2.4719908,-1.255651,2.4719884,-1.2558509,2.47192,-1.2557259,2.4720461
5,12172,11,1,-1.2554427,2.4719744,-1.2572216,2.4719908,-1.2553546,2.4718904,-1.2555808,2.471806,-1.2554376,2.4719524
5,12172,12,1,-1.2551454,2.4718757,-1.2572216,2.4719908,-1.2550447,2.4717817,-1.2552983,2.4716806,-1.2551395,2.4718468
5,12172,13,1,-1.2548318,2.4717739,-1.2572216,2.4719908,-1.254719,2.4716706,-1.2550002,2.471553,-1.25483,2.4717383
5,12172,14,1,-1.2544979,2.4716723,-1.2572216,2.4719908,-1.2543737,2.4715612,-1.2546809,2.471427,-1.2545043,2.471632
5,12172,15,1,-1.2541393,2.4715743,-1.2572216,2.4719908,-1.2540038,2.4714572,-1.2543343,2.4713058,-1.2541574,2.4715319
5,12172,16,1,-1.2537532,2.4714816,-1.2572216,2.4719908,-1.2536056,2.4713585,-1.2539572,2.4711893,-1.2537842,2.4714375
5,12172,17,1,-1.2533431,2.471386,-1.2572216,2.4719908,-1.2531826,2.4712594,-1.2535529,2.4710705,-1.2533861,2.4713411
5,12172,18,1,-1.2529167,2.4712744,-1.2572216,2.4719908,-1.2527424,2.47115,-1.2531301,2.4709418,-1.2529708,2.471234
5,12172,19,1,-1.2524817,2.4711413,-1.2572216,2.4719908,-1.2522937,2.471025,-1.2526989,2.470794,-1.2525477,2.471112
5,12172,20,1,-1.2520479,2.4709897,-1.2572216,2.4719908,-1.2518462,2.4708807,-1.252271,2.470623,-1.2521275,2.4709702
5,12172,21,1,-1.2516211,2.470829,-1.2572216,2.4719908,-1.2514079,2.4707215,-1.251854,2.470443,-1.2517188,2.470817
5,12172,22,1,-1.2512002,2.4706836,-1.2572216,2.4719908,-1.2509785,2.470579,-1.2514458,2.4702811,-1.2513179,2.470686
5,12172,23,1,-1.250788,2.4706123,-1.2572216,2.4719908,-1.2505568,2.4705155,-1.2510481,2.4701972,-1.250927,2.4706368
5,12172,24,1,-1.2503846,2.4706383,-1.2572216,2.4719908,-1.2501404,2.4705627,-1.2506614,2.4702177,-1.250548,2.4707031
5,12172,25,1,-1.2499751,2.4707115,-1.2572216,2.4719908,-1.2497201,2.470665,-1.2502759,2.4702902,-1.2501689,2.4708273
5,12172,26,1,-1.2495503,2.4707696,-1.2572216,2.4719908,-1.2492878,2.4707458,-1.2498806,2.470346,-1.2497807,2.4709277
5,12172,27,1,-1.2491157,2.470778,-1.2572216,2.4719908,-1.2488475,2.4707742,-1.2494775,2.4703486,-1.249384,2.4709773
5,12172,28,0,-1.2486854,2.4707372,-1.2572216,2.4719908,-1.2484155,2.470751,-1.2490808,2.4702997,-1.2489944,2.4709814
5,12172,29,1,-1.2482846,2.4706638,-1.2572216,2.4719908,-1.2480149,2.4706953,-1.2487125,2.470216,-1.248639,2.4709535
